URL_length,parameter_maxlen,digit_percentage,letter_percentage,parameter_number,XSS_count,evil_char_count,char_0,char_13,char_14,char_16,char_17,char_18,char_20,char_21,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,label
88,39,0.0,0.829545,3,6,15,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
186,153,0.010753,0.747312,3,7,45,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
66,58,0.0,0.727273,1,4,18,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
34,31,0.0,0.647059,1,4,12,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
57,53,0.017544,0.807018,1,2,10,5,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
55,26,0.109091,0.636364,3,1,14,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
98,33,0.091837,0.673469,4,6,23,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
36,30,0.111111,0.611111,1,4,10,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
84,25,0.0,0.75,3,1,21,4,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
107,94,0.009346,0.738318,1,13,27,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
35,31,0.0,0.657143,1,4,12,3,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
403,400,0.811414,0.148883,1,0,16,12,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
432,429,0.796296,0.152778,1,0,22,17,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
63,49,0.095238,0.650794,1,4,16,2,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
49,33,0.061224,0.612245,3,5,16,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
45,35,0.088889,0.688889,1,4,10,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
59,39,0.084746,0.694915,3,6,13,2,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
38,36,0.0,0.684211,1,4,12,3,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
228,221,0.017544,0.692982,1,5,66,6,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
40,27,0.025,0.675,1,4,12,2,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
45,11,0.2,0.6,1,4,9,2,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
38,34,0.0,0.684211,1,4,12,3,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
46,34,0.021739,0.673913,2,4,14,3,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
60,41,0.016667,0.7,1,5,17,3,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
79,39,0.012658,0.708861,2,2,22,5,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
66,41,0.015152,0.727273,1,5,17,3,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
51,35,0.0,0.72549,2,4,14,3,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
47,39,0.021277,0.723404,1,2,12,2,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
61,39,0.081967,0.704918,3,6,13,2,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
234,1,0.128205,0.576923,1,14,69,3,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
